instrument,date,direction,ob_ts,placed_ts,age_at_placement_min,hour_utc,weekday,killzone,ml_proba,entry,sl,tp,rr,ob_high,ob_low,ob_size_pct,ctx_h1_close_above_ma20,ctx_h1_atr_5,ctx_h1_trend,ctx_dist_to_h1_swing_high_pct,ctx_dist_to_h1_swing_low_pct,ctx_h4_close_above_ma20,ctx_h4_trend,features_json,price_at_placement,entry_vs_ref_price_pct,outcome,fill_ts,time_to_fill_s,price_at_fill,risk_abs,reward_abs,mfe_R,mae_R,ticks_count_in_trade,exit_ts,hold_time_s,pnl_r
FRA40,2026-05-14,bullish,2026-05-14 05:45:00+00:00,2026-05-14 05:50:00+00:00,5.0,5,Thursday,asia,0.7095539366523289,8036.71,8032.21,8050.21,3.0,8036.71,8033.71,0.037328707891662136,True,13.3,range,0.2621272703092722,1.4934667046164956,True,range,"{""score"": 122.0, ""quality"": 62.0, ""ob_strength"": 8.0, ""sweep_strength"": 8.0, ""retest_count"": 0.0, ""is_unicorn"": 0.0, ""rr"": 3.0, ""risk_points"": 4.5, ""tp_source_htf"": 0.0, ""tp_source_capped"": 1.0, ""daily_bias_aligned"": 0.0, ""daily_bias_neutral"": 1.0, ""kz_london"": 0.0, ""kz_ny_am"": 0.0, ""kz_ny_pm"": 0.0, ""kz_asia"": 0.0, ""kz_ny_lunch"": 0.0, ""has_smt"": 0.0, ""has_feu_vert"": 1.0, ""has_breaker_kz"": 0.0, ""has_mss_fvg"": 1.0, ""has_po3_dist"": 0.0, ""has_phase_expansion"": 1.0, ""has_open_midnight_respect"": 0.0, ""has_FVG_sync"": 1.0, ""has_parent_ob"": 1.0, ""has_grandparent_ob"": 1.0, ""has_good_zone"": 1.0, ""has_session_direction"": 0.0, ""ob_group_size"": 2.0, ""bars_sweep_to_validation"": 2.0, ""bars_group_to_validation"": 4.0, ""is_bullish"": 1.0, ""hour_of_day"": 5.0, ""day_of_week"": 3.0, ""minutes_into_killzone"": -1.0, ""atr_at_setup"": 2.0, ""atr_ratio_100"": 1.3840830449826989, ""dist_to_pdh_pct"": 0.6114158159321754, ""dist_to_pdl_pct"": 0.07670707485788462, ""dist_to_d1_open_pct"": -0.16261273572014392, ""phase_reversal"": 0.0, ""phase_manipulation"": 0.0, ""vol_ratio_setup"": 1.4604354753053637, ""has_mss_nearby"": 1.0, ""po3_body_pct"": 0.8333333333333334, ""po3_upper_wick"": 0.0, ""po3_lower_wick"": 0.0, ""po3_aligned"": 0.0, ""po3_htf2_aligned"": 1.0, ""displacement_ratio"": 5.345454545454546, ""fib_level"": 0.08333333333333333, ""mom_60"": 0.031080185635732765, ""mom_240"": -0.024850246203814267, ""body_ratio_recent"": 0.5808333333333333, ""mom_aligned"": 1.0, ""atr_regime"": 0.45751527948065024, ""dist_pdh_atr"": 24.7199999999998, ""dist_pdl_atr"": 3.0799999999999272}",8060.7,0.2985052341069888,NO_FILL,,,,,,,,,,,
FRA40,2026-05-13,bearish,2026-05-13 08:32:00+00:00,2026-05-13 08:35:00+00:00,3.0,8,Wednesday,london,0.723199125075088,7983.15,7991.15,7971.15,1.5,7988.15,7983.15,0.06263191847829491,False,22.0,range,0.6887769504369223,0.14302472194864455,False,range,"{""score"": 92.0, ""quality"": 40.0, ""ob_strength"": 4.0, ""sweep_strength"": 5.0, ""retest_count"": 0.0, ""is_unicorn"": 0.0, ""rr"": 1.5, ""risk_points"": 8.0, ""tp_source_htf"": 0.0, ""tp_source_capped"": 0.0, ""daily_bias_aligned"": 0.0, ""daily_bias_neutral"": 1.0, ""kz_london"": 1.0, ""kz_ny_am"": 0.0, ""kz_ny_pm"": 0.0, ""kz_asia"": 0.0, ""kz_ny_lunch"": 0.0, ""has_smt"": 0.0, ""has_feu_vert"": 1.0, ""has_breaker_kz"": 0.0, ""has_mss_fvg"": 1.0, ""has_po3_dist"": 0.0, ""has_phase_expansion"": 0.0, ""has_open_midnight_respect"": 1.0, ""has_FVG_sync"": 1.0, ""has_parent_ob"": 1.0, ""has_grandparent_ob"": 0.0, ""has_good_zone"": 0.0, ""has_session_direction"": 1.0, ""ob_group_size"": 4.0, ""bars_sweep_to_validation"": 7.0, ""bars_group_to_validation"": 10.0, ""is_bullish"": 0.0, ""hour_of_day"": 8.0, ""day_of_week"": 2.0, ""minutes_into_killzone"": 32.0, ""atr_at_setup"": 2.7071428571427014, ""atr_ratio_100"": 0.7801564429806364, ""dist_to_pdh_pct"": 0.8763641194825247, ""dist_to_pdl_pct"": 0.7267634422847556, ""dist_to_d1_open_pct"": -0.8464471576018847, ""phase_reversal"": 0.0, ""phase_manipulation"": 0.0, ""vol_ratio_setup"": 0.7812822098536243, ""has_mss_nearby"": 1.0, ""po3_body_pct"": 0.8467741935483498, ""po3_upper_wick"": 0.0, ""po3_lower_wick"": 0.0, ""po3_aligned"": 0.0, ""po3_htf2_aligned"": 1.0, ""displacement_ratio"": 1.1081794195251298, ""fib_level"": 0.17731958762885472, ""mom_60"": -0.08137562361896178, ""mom_240"": -0.4322712642531069, ""body_ratio_recent"": 0.48786741672093614, ""mom_aligned"": 1.0, ""atr_regime"": 0.7746417264928126, ""dist_pdh_atr"": 26.071767810027858, ""dist_pdl_atr"": 21.277044854882288}",8003.3,-0.25240663146753534,INVALID_PRICE,,,,,,,,,,,
FRA40,2026-05-13,bullish,2026-05-13 12:45:00+00:00,2026-05-13 12:50:00+00:00,5.0,12,Wednesday,ny_morning,0.8395283085134693,7934.15,7925.55,7947.049999999999,1.5,7934.15,7926.05,0.10209033103734431,False,27.93999999999978,range,0.9801639478336432,0.2780696180631942,False,range,"{""score"": 64.0, ""quality"": 32.0, ""ob_strength"": 2.0, ""sweep_strength"": 6.0, ""retest_count"": 0.0, ""is_unicorn"": 0.0, ""rr"": 1.5, ""risk_points"": 8.599999999999454, ""tp_source_htf"": 0.0, ""tp_source_capped"": 0.0, ""daily_bias_aligned"": 0.0, ""daily_bias_neutral"": 1.0, ""kz_london"": 0.0, ""kz_ny_am"": 1.0, ""kz_ny_pm"": 0.0, ""kz_asia"": 0.0, ""kz_ny_lunch"": 0.0, ""has_smt"": 0.0, ""has_feu_vert"": 1.0, ""has_breaker_kz"": 0.0, ""has_mss_fvg"": 1.0, ""has_po3_dist"": 0.0, ""has_phase_expansion"": 0.0, ""has_open_midnight_respect"": 0.0, ""has_FVG_sync"": 1.0, ""has_parent_ob"": 0.0, ""has_grandparent_ob"": 0.0, ""has_good_zone"": 1.0, ""has_session_direction"": 1.0, ""ob_group_size"": 5.0, ""bars_sweep_to_validation"": 8.0, ""bars_group_to_validation"": 12.0, ""is_bullish"": 1.0, ""hour_of_day"": 12.0, ""day_of_week"": 2.0, ""minutes_into_killzone"": 45.0, ""atr_at_setup"": 3.507142857142623, ""atr_ratio_100"": 1.4549441431830819, ""dist_to_pdh_pct"": 1.484777860693119, ""dist_to_pdl_pct"": 0.10850981950778754, ""dist_to_d1_open_pct"": -1.4550445269708066, ""phase_reversal"": 0.0, ""phase_manipulation"": 0.0, ""vol_ratio_setup"": 1.4640546262336966, ""has_mss_nearby"": 1.0, ""po3_body_pct"": 0.8285714285714286, ""po3_upper_wick"": 0.0, ""po3_lower_wick"": 0.0, ""po3_aligned"": 0.0, ""po3_htf2_aligned"": 0.0, ""displacement_ratio"": 0.5702647657841521, ""fib_level"": -0.07454545454542809, ""mom_60"": -0.13843181918287473, ""mom_240"": -0.5327383377310361, ""body_ratio_recent"": 0.543923899749083, ""mom_aligned"": 0.0, ""atr_regime"": 0.8665512983965147, ""dist_pdh_atr"": 34.09613034623443, ""dist_pdl_atr"": 2.4521384928716983}",8026.7,1.1664765601860336,NO_FILL,,,,,,,,,,,
UK100,2026-05-12,bullish,2026-05-12 07:16:00+00:00,2026-05-12 07:20:00+00:00,4.0,7,Tuesday,london,0.9027917734343528,10170.75,10154.75,10217.95,2.9500000000000455,10170.75,10161.5,0.09094707863235259,False,31.259999999999856,range,0.7832962083567914,0.5727853523609037,False,range,"{""score"": 93.0, ""quality"": 42.0, ""ob_strength"": 5.0, ""sweep_strength"": 3.0, ""retest_count"": 0.0, ""is_unicorn"": 0.0, ""rr"": 2.9500000000000455, ""risk_points"": 16.0, ""tp_source_htf"": 1.0, ""tp_source_capped"": 0.0, ""daily_bias_aligned"": 1.0, ""daily_bias_neutral"": 0.0, ""kz_london"": 1.0, ""kz_ny_am"": 0.0, ""kz_ny_pm"": 0.0, ""kz_asia"": 0.0, ""kz_ny_lunch"": 0.0, ""has_smt"": 0.0, ""has_feu_vert"": 0.0, ""has_breaker_kz"": 0.0, ""has_mss_fvg"": 0.0, ""has_po3_dist"": 0.0, ""has_phase_expansion"": 0.0, ""has_open_midnight_respect"": 0.0, ""has_FVG_sync"": 1.0, ""has_parent_ob"": 0.0, ""has_grandparent_ob"": 0.0, ""has_good_zone"": 1.0, ""has_session_direction"": 1.0, ""ob_group_size"": 1.0, ""bars_sweep_to_validation"": 12.0, ""bars_group_to_validation"": 12.0, ""is_bullish"": 1.0, ""hour_of_day"": 7.0, ""day_of_week"": 1.0, ""minutes_into_killzone"": 16.0, ""atr_at_setup"": 5.875, ""atr_ratio_100"": 1.5407815368476294, ""dist_to_pdh_pct"": 1.2620440259204426, ""dist_to_pdl_pct"": 0.1575617321942933, ""dist_to_d1_open_pct"": -1.096801296051757, ""phase_reversal"": 0.0, ""phase_manipulation"": 0.0, ""vol_ratio_setup"": 1.5384760148295944, ""has_mss_nearby"": 0.0, ""po3_body_pct"": 0.8932038834951457, ""po3_upper_wick"": 0.0, ""po3_lower_wick"": 0.0, ""po3_aligned"": 0.0, ""po3_htf2_aligned"": 1.0, ""displacement_ratio"": 1.45565749235474, ""fib_level"": -2.8661290322580175, ""mom_60"": -0.347638749479766, ""mom_240"": -0.44805102694664256, ""body_ratio_recent"": 0.4571221103185713, ""mom_aligned"": 0.0, ""atr_regime"": 0.8022760879167129, ""dist_pdh_atr"": 22.127659574468087, ""dist_pdl_atr"": 2.723404255319149}",10241.65,0.6970970675712178,NO_FILL,,,,,,,,,,,
FRA40,2026-05-15,bearish,2026-05-15 07:34:00+00:00,2026-05-15 07:35:00+00:00,1.0,7,Friday,london,0.7234682627503537,8021.15,8046.15,7983.65,1.5,8041.15,8021.15,0.24934080524613056,False,36.92399999999979,range,0.9689644192768909,0.8738161090334764,False,range,"{""score"": 144.0, ""quality"": 49.0, ""ob_strength"": 4.0, ""sweep_strength"": 8.0, ""retest_count"": 0.0, ""is_unicorn"": 0.0, ""rr"": 1.5, ""risk_points"": 25.0, ""tp_source_htf"": 0.0, ""tp_source_capped"": 0.0, ""daily_bias_aligned"": 1.0, ""daily_bias_neutral"": 0.0, ""kz_london"": 1.0, ""kz_ny_am"": 0.0, ""kz_ny_pm"": 0.0, ""kz_asia"": 0.0, ""kz_ny_lunch"": 0.0, ""has_smt"": 0.0, ""has_feu_vert"": 0.0, ""has_breaker_kz"": 0.0, ""has_mss_fvg"": 1.0, ""has_po3_dist"": 0.0, ""has_phase_expansion"": 0.0, ""has_open_midnight_respect"": 0.0, ""has_FVG_sync"": 1.0, ""has_parent_ob"": 1.0, ""has_grandparent_ob"": 1.0, ""has_good_zone"": 1.0, ""has_session_direction"": 1.0, ""ob_group_size"": 5.0, ""bars_sweep_to_validation"": 17.0, ""bars_group_to_validation"": 21.0, ""is_bullish"": 0.0, ""hour_of_day"": 7.0, ""day_of_week"": 4.0, ""minutes_into_killzone"": 34.0, ""atr_at_setup"": 4.192857142857065, ""atr_ratio_100"": 0.9871352896661909, ""dist_to_pdh_pct"": 0.42394448375604316, ""dist_to_pdl_pct"": 1.5682575057297994, ""dist_to_d1_open_pct"": 1.4462235038194902, ""phase_reversal"": 0.0, ""phase_manipulation"": 0.0, ""vol_ratio_setup"": 0.9918053560868471, ""has_mss_nearby"": 0.0, ""po3_body_pct"": 0.7735849056603774, ""po3_upper_wick"": 0.0, ""po3_lower_wick"": 0.0, ""po3_aligned"": 0.0, ""po3_htf2_aligned"": 1.0, ""displacement_ratio"": 0.23850085178876082, ""fib_level"": 1.1693823417961329, ""mom_60"": 0.27004894637152305, ""mom_240"": 0.1925109372696659, ""body_ratio_recent"": 0.4143129930001724, ""mom_aligned"": 0.0, ""atr_regime"": 1.0923637870338683, ""dist_pdh_atr"": 8.144804088586312, ""dist_pdl_atr"": 29.538330494037897}",8008.8,0.15396794723947882,NO_FILL,,,,,,,,,,,
GER40,2026-05-13,bullish,2026-05-13 09:45:00+00:00,2026-05-13 09:50:00+00:00,5.0,9,Wednesday,london,0.7081486417088109,24088.3,24057.3,24134.8,1.5,24088.3,24060.3,0.11623900399779145,True,86.37999999999957,range,0.3190876579380307,0.9232822102414675,False,range,"{""score"": 101.0, ""quality"": 24.0, ""ob_strength"": 0.0, ""sweep_strength"": 8.0, ""retest_count"": 0.0, ""is_unicorn"": 0.0, ""rr"": 1.5, ""risk_points"": 31.0, ""tp_source_htf"": 0.0, ""tp_source_capped"": 0.0, ""daily_bias_aligned"": 0.0, ""daily_bias_neutral"": 1.0, ""kz_london"": 1.0, ""kz_ny_am"": 0.0, ""kz_ny_pm"": 0.0, ""kz_asia"": 0.0, ""kz_ny_lunch"": 0.0, ""has_smt"": 0.0, ""has_feu_vert"": 1.0, ""has_breaker_kz"": 0.0, ""has_mss_fvg"": 0.0, ""has_po3_dist"": 0.0, ""has_phase_expansion"": 0.0, ""has_open_midnight_respect"": 1.0, ""has_FVG_sync"": 0.0, ""has_parent_ob"": 1.0, ""has_grandparent_ob"": 1.0, ""has_good_zone"": 1.0, ""has_session_direction"": 1.0, ""ob_group_size"": 5.0, ""bars_sweep_to_validation"": 11.0, ""bars_group_to_validation"": 16.0, ""is_bullish"": 1.0, ""hour_of_day"": 9.0, ""day_of_week"": 2.0, ""minutes_into_killzone"": 45.0, ""atr_at_setup"": 12.285714285714286, ""atr_ratio_100"": 1.0811082616784857, ""dist_to_pdh_pct"": 0.6416879813330121, ""dist_to_pdl_pct"": 0.5539414583646443, ""dist_to_d1_open_pct"": -0.6138118180126576, ""phase_reversal"": 0.0, ""phase_manipulation"": 0.0, ""vol_ratio_setup"": 1.0868466282479041, ""has_mss_nearby"": 0.0, ""po3_body_pct"": 0.8305084745762712, ""po3_upper_wick"": 0.0, ""po3_lower_wick"": 0.0, ""po3_aligned"": 0.0, ""po3_htf2_aligned"": 1.0, ""displacement_ratio"": 0.7325581395348837, ""fib_level"": 0.10145510628311484, ""mom_60"": -0.24843383171920352, ""mom_240"": -0.12134870776271223, ""body_ratio_recent"": 0.48175803845912546, ""mom_aligned"": 0.0, ""atr_regime"": 0.9621444965578418, ""dist_pdh_atr"": 12.662674418604627, ""dist_pdl_atr"": 10.801162790697733}",24038.43,-0.20702996890606223,INVALID_PRICE,,,,,,,,,,,
GER40,2026-05-12,bearish,2026-05-12 14:17:00+00:00,2026-05-12 14:20:00+00:00,3.0,14,Tuesday,ny_morning,0.7256111842497629,24041.5,24059.5,24007.66,1.880000000000008,24054.5,24041.5,0.0540731651519248,False,94.54000000000015,range,1.4635673149152855,0.016693097404223353,False,range,"{""score"": 116.0, ""quality"": 48.0, ""ob_strength"": 6.0, ""sweep_strength"": 7.0, ""retest_count"": 0.0, ""is_unicorn"": 0.0, ""rr"": 1.880000000000008, ""risk_points"": 18.0, ""tp_source_htf"": 1.0, ""tp_source_capped"": 0.0, ""daily_bias_aligned"": 0.0, ""daily_bias_neutral"": 1.0, ""kz_london"": 0.0, ""kz_ny_am"": 1.0, ""kz_ny_pm"": 0.0, ""kz_asia"": 0.0, ""kz_ny_lunch"": 0.0, ""has_smt"": 0.0, ""has_feu_vert"": 1.0, ""has_breaker_kz"": 0.0, ""has_mss_fvg"": 1.0, ""has_po3_dist"": 1.0, ""has_phase_expansion"": 0.0, ""has_open_midnight_respect"": 1.0, ""has_FVG_sync"": 1.0, ""has_parent_ob"": 1.0, ""has_grandparent_ob"": 1.0, ""has_good_zone"": 0.0, ""has_session_direction"": 1.0, ""ob_group_size"": 1.0, ""bars_sweep_to_validation"": 4.0, ""bars_group_to_validation"": 4.0, ""is_bullish"": 0.0, ""hour_of_day"": 14.0, ""day_of_week"": 1.0, ""minutes_into_killzone"": 17.0, ""atr_at_setup"": 10.914285714285663, ""atr_ratio_100"": 0.9946220110892514, ""dist_to_pdh_pct"": 0.8821515311803942, ""dist_to_pdl_pct"": 0.5562875128092519, ""dist_to_d1_open_pct"": 0.12381427941380234, ""phase_reversal"": 0.0, ""phase_manipulation"": 0.0, ""vol_ratio_setup"": 0.9955292397622688, ""has_mss_nearby"": 1.0, ""po3_body_pct"": 0.4528301886792453, ""po3_upper_wick"": 0.0, ""po3_lower_wick"": 0.0, ""po3_aligned"": 0.0, ""po3_htf2_aligned"": 1.0, ""displacement_ratio"": 1.1910994764397962, ""fib_level"": 0.30743243243243246, ""mom_60"": -0.14953581590479553, ""mom_240"": -0.17026931622334351, ""body_ratio_recent"": 0.39317590769796784, ""mom_aligned"": 1.0, ""atr_regime"": 0.9322945978378457, ""dist_pdh_atr"": 19.604581151832658, ""dist_pdl_atr"": 12.185863874345607}",24085.0,-0.18093712954682528,INVALID_PRICE,,,,,,,,,,,
GER40,2026-05-12,bullish,2026-05-12 15:29:00+00:00,2026-05-12 15:35:00+00:00,6.0,15,Tuesday,ny_morning,0.7406253742326029,23935.5,23908.5,23980.75,1.6759259259259258,23935.5,23926.5,0.037601052829479224,False,96.8,range,1.4248428789175902,0.15868707326749212,False,range,"{""score"": 117.0, ""quality"": 67.0, ""ob_strength"": 9.0, ""sweep_strength"": 6.0, ""retest_count"": 0.0, ""is_unicorn"": 0.0, ""rr"": 1.6759259259259258, ""risk_points"": 27.0, ""tp_source_htf"": 0.0, ""tp_source_capped"": 0.0, ""daily_bias_aligned"": 0.0, ""daily_bias_neutral"": 1.0, ""kz_london"": 0.0, ""kz_ny_am"": 1.0, ""kz_ny_pm"": 0.0, ""kz_asia"": 0.0, ""kz_ny_lunch"": 0.0, ""has_smt"": 0.0, ""has_feu_vert"": 1.0, ""has_breaker_kz"": 0.0, ""has_mss_fvg"": 1.0, ""has_po3_dist"": 0.0, ""has_phase_expansion"": 1.0, ""has_open_midnight_respect"": 0.0, ""has_FVG_sync"": 1.0, ""has_parent_ob"": 0.0, ""has_grandparent_ob"": 0.0, ""has_good_zone"": 1.0, ""has_session_direction"": 1.0, ""ob_group_size"": 1.0, ""bars_sweep_to_validation"": 9.0, ""bars_group_to_validation"": 9.0, ""is_bullish"": 1.0, ""hour_of_day"": 15.0, ""day_of_week"": 1.0, ""minutes_into_killzone"": 29.0, ""atr_at_setup"": 9.357142857142858, ""atr_ratio_100"": 0.8135938489820772, ""dist_to_pdh_pct"": 1.319166357114503, ""dist_to_pdl_pct"": 0.1129305477131564, ""dist_to_d1_open_pct"": -0.31763589273094167, ""phase_reversal"": 0.0, ""phase_manipulation"": 0.0, ""vol_ratio_setup"": 0.8135938489820772, ""has_mss_nearby"": 1.0, ""po3_body_pct"": 0.36, ""po3_upper_wick"": 0.0, ""po3_lower_wick"": 0.0, ""po3_aligned"": 1.0, ""po3_htf2_aligned"": 0.0, ""displacement_ratio"": 3.0992366412213737, ""fib_level"": -1.2543859649122806, ""mom_60"": -0.2913449732586935, ""mom_240"": -0.5149394738481343, ""body_ratio_recent"": 0.41888528138528136, ""mom_aligned"": 0.0, ""atr_regime"": 0.9723770496872718, ""dist_pdh_atr"": 34.19526717557264, ""dist_pdl_atr"": 2.8854961832061066}",24135.1,0.8339077938626664,NO_FILL,,,,,,,,,,,
GER40,2026-05-14,bullish,2026-05-14 00:37:00+00:00,2026-05-14 00:40:00+00:00,3.0,0,Thursday,asia,0.7689415278770841,24251.47,24245.47,24263.47,2.0,24251.47,24247.47,0.016493845527714403,True,37.03399999999965,bullish,0.038315170706442234,1.1785828907519114,True,range,"{""score"": 80.0, ""quality"": 54.0, ""ob_strength"": 9.0, ""sweep_strength"": 5.0, ""retest_count"": 0.0, ""is_unicorn"": 0.0, ""rr"": 2.0, ""risk_points"": 6.0, ""tp_source_htf"": 1.0, ""tp_source_capped"": 1.0, ""daily_bias_aligned"": 0.0, ""daily_bias_neutral"": 1.0, ""kz_london"": 0.0, ""kz_ny_am"": 0.0, ""kz_ny_pm"": 0.0, ""kz_asia"": 1.0, ""kz_ny_lunch"": 0.0, ""has_smt"": 0.0, ""has_feu_vert"": 1.0, ""has_breaker_kz"": 0.0, ""has_mss_fvg"": 1.0, ""has_po3_dist"": 1.0, ""has_phase_expansion"": 0.0, ""has_open_midnight_respect"": 1.0, ""has_FVG_sync"": 1.0, ""has_parent_ob"": 0.0, ""has_grandparent_ob"": 0.0, ""has_good_zone"": 1.0, ""has_session_direction"": 1.0, ""ob_group_size"": 1.0, ""bars_sweep_to_validation"": 1.0, ""bars_group_to_validation"": 2.0, ""is_bullish"": 1.0, ""hour_of_day"": 0.0, ""day_of_week"": 3.0, ""minutes_into_killzone"": 37.0, ""atr_at_setup"": 7.928571428571429, ""atr_ratio_100"": 1.397844045939945, ""dist_to_pdh_pct"": 0.929490583765672, ""dist_to_pdl_pct"": 0.3106338958247338, ""dist_to_d1_open_pct"": -0.2179437172796309, ""phase_reversal"": 0.0, ""phase_manipulation"": 0.0, ""vol_ratio_setup"": 1.4352340748270351, ""has_mss_nearby"": 0.0, ""po3_body_pct"": 0.8409090909090909, ""po3_upper_wick"": 0.0, ""po3_lower_wick"": 0.0, ""po3_aligned"": 0.0, ""po3_htf2_aligned"": 1.0, ""displacement_ratio"": 0.7064220183486238, ""fib_level"": 0.5, ""mom_60"": 0.14697461426389533, ""mom_240"": 0.35442126775830474, ""body_ratio_recent"": 0.4079528986265261, ""mom_aligned"": 1.0, ""atr_regime"": 0.43510448454237716, ""dist_pdh_atr"": 28.697477477477328, ""dist_pdl_atr"": 9.472072072072347}",24173.9,-0.3198568993962003,INVALID_PRICE,,,,,,,,,,,
GER40,2026-05-14,bullish,2026-05-14 05:45:00+00:00,2026-05-14 05:50:00+00:00,5.0,5,Thursday,asia,0.8560789775081201,24214.77,24176.37,24272.370000000003,1.5,24214.77,24190.97,0.09828711980332365,True,49.880000000000294,range,0.20303336803882185,1.0158683782544737,True,range,"{""score"": 70.0, ""quality"": 39.0, ""ob_strength"": 3.0, ""sweep_strength"": 6.0, ""retest_count"": 0.0, ""is_unicorn"": 0.0, ""rr"": 1.5, ""risk_points"": 38.400000000001455, ""tp_source_htf"": 0.0, ""tp_source_capped"": 0.0, ""daily_bias_aligned"": 0.0, ""daily_bias_neutral"": 1.0, ""kz_london"": 0.0, ""kz_ny_am"": 0.0, ""kz_ny_pm"": 0.0, ""kz_asia"": 0.0, ""kz_ny_lunch"": 0.0, ""has_smt"": 0.0, ""has_feu_vert"": 1.0, ""has_breaker_kz"": 0.0, ""has_mss_fvg"": 1.0, ""has_po3_dist"": 1.0, ""has_phase_expansion"": 1.0, ""has_open_midnight_respect"": 1.0, ""has_FVG_sync"": 1.0, ""has_parent_ob"": 1.0, ""has_grandparent_ob"": 0.0, ""has_good_zone"": 0.0, ""has_session_direction"": 0.0, ""ob_group_size"": 4.0, ""bars_sweep_to_validation"": 28.0, ""bars_group_to_validation"": 32.0, ""is_bullish"": 1.0, ""hour_of_day"": 5.0, ""day_of_week"": 3.0, ""minutes_into_killzone"": -1.0, ""atr_at_setup"": 7.785714285713766, ""atr_ratio_100"": 1.1985397607318284, ""dist_to_pdh_pct"": 1.0794150087830368, ""dist_to_pdl_pct"": 0.1588327776254312, ""dist_to_d1_open_pct"": -0.368944933518313, ""phase_reversal"": 0.0, ""phase_manipulation"": 0.0, ""vol_ratio_setup"": 1.2015503875968458, ""has_mss_nearby"": 1.0, ""po3_body_pct"": 0.8639455782312992, ""po3_upper_wick"": 0.0, ""po3_lower_wick"": 0.0, ""po3_aligned"": 0.0, ""po3_htf2_aligned"": 1.0, ""displacement_ratio"": 4.658064516129627, ""fib_level"": 0.5076628352491047, ""mom_60"": 0.06194387306957081, ""mom_240"": 0.014446709596784079, ""body_ratio_recent"": 0.4535735185904942, ""mom_aligned"": 1.0, ""atr_regime"": 0.569315032189043, ""dist_pdh_atr"": 33.937798165139824, ""dist_pdl_atr"": 4.932110091743636}",24263.8,0.2024797262166803,NO_FILL,,,,,,,,,,,
