instrument,direction,ob_ts,placed_ts,ml,entry,sl,tp,rr,fill_ts,exit_ts,outcome,pnl_r
GER40,bearish,2026-05-15 08:00:00+00:00,2026-05-15 08:02:00+00:00,0.7143017200334234,24132.67,24206.2,24113.7,0.25798993608046905,2026-05-15 08:02:04.010000+00:00,2026-05-15 11:07:22.903000+00:00,WIN,0.18798993608046904
GER40,bearish,2026-05-15 08:01:00+00:00,2026-05-15 08:15:00+00:00,0.704010607169339,24124.07,24203.2,24130.85,0.08568178946036584,2026-05-15 08:15:04.012000+00:00,,INVALID_PRICE,0.0
GER40,bullish,2026-05-15 15:59:00+00:00,2026-05-15 16:00:00+00:00,0.7088350632613456,24037.5,23843.7,23912.7,0.6439628482972123,2026-05-15 16:00:04.391000+00:00,,INVALID_PRICE,0.0
NAS100,bearish,2026-05-15 00:30:00+00:00,2026-05-15 01:00:00+00:00,0.8538587051255748,29641.65,29655.36,29603.909999999996,2.7527352297598573,2026-05-15 01:00:04.059000+00:00,2026-05-15 01:01:16.808000+00:00,LOSS,-1.07
XAUUSD,bearish,2026-05-15 15:12:00+00:00,2026-05-15 15:13:00+00:00,0.735823655742559,4549.99,4560.16,4545.710000000001,0.4208456243853299,2026-05-15 15:13:04.011000+00:00,2026-05-15 15:15:52.513000+00:00,WIN,0.3508456243853299
NAS100,bearish,2026-05-15 18:18:00+00:00,2026-05-15 18:19:00+00:00,0.7410738437812577,29130.11,29423.81,29251.909999999993,0.4147088866189707,2026-05-15 18:19:04.137000+00:00,,INVALID_PRICE,0.0
NAS100,bearish,2026-05-15 00:25:00+00:00,2026-05-15 00:26:00+00:00,0.7864211390699142,29604.15,29652.36,29632.409999999996,0.5861854387055647,2026-05-15 00:26:04.114000+00:00,,INVALID_PRICE,0.0
EURUSD,bearish,2026-05-15 17:37:00+00:00,2026-05-15 17:38:00+00:00,0.7176259208759999,1.16366,1.16358,1.1620300000000001,20.375000000033655,2026-05-15 17:38:04.658000+00:00,,INVALID_PRICE,0.0
EURUSD,bullish,2026-05-15 20:32:00+00:00,2026-05-15 21:00:00+00:00,0.7538137004576582,1.16296,1.16206,1.16259,0.4111111111111358,2026-05-15 21:00:04.084000+00:00,,INVALID_PRICE,0.0
GBPUSD,bearish,2026-05-15 12:30:00+00:00,2026-05-15 13:00:00+00:00,0.72541872033126,1.33503,1.33626,1.3341600000000002,0.7073170731704543,2026-05-15 13:00:04.054000+00:00,2026-05-15 13:10:35.886000+00:00,LOSS,-1.07
BTCUSD,bearish,2026-05-15 01:27:00+00:00,2026-05-15 01:28:00+00:00,0.7481581215272005,81381.12,81607.93,81177.24,0.8989021648075137,2026-05-15 01:28:04.525000+00:00,2026-05-15 02:39:23.998000+00:00,WIN,0.8289021648075137
BTCUSD,bullish,2026-05-15 14:02:00+00:00,2026-05-15 14:03:00+00:00,0.7172993333126536,80709.1,78639.77,79257.64499999999,0.7014130177400487,2026-05-15 14:03:06.009000+00:00,,INVALID_PRICE,0.0
AUDUSD,bullish,2026-05-15 12:47:00+00:00,2026-05-15 13:00:00+00:00,0.7303732293097016,0.71606,0.71435,0.71478,0.7485380116959456,2026-05-15 13:00:04.053000+00:00,,INVALID_PRICE,0.0
SP500,bearish,2026-05-15 00:25:00+00:00,2026-05-15 00:26:00+00:00,0.8095862338182276,7509.4,7512.2,7508.2,0.4285714285713358,2026-05-15 00:26:04.335000+00:00,2026-05-15 00:26:15.143000+00:00,WIN,0.3585714285713358
SP500,bearish,2026-05-15 00:35:00+00:00,2026-05-15 00:36:00+00:00,0.7196167007245748,7508.65,7512.45,7501.45,1.8947368421051245,2026-05-15 00:36:04.678000+00:00,2026-05-15 00:56:11.595000+00:00,LOSS,-1.07
USDJPY,bearish,2026-05-15 20:32:00+00:00,2026-05-15 21:00:00+00:00,0.7549662622188417,158.593,158.845,158.64999999999998,0.2261904761904198,2026-05-15 21:00:04.262000+00:00,,INVALID_PRICE,0.0
SP500,bearish,2026-05-15 19:04:00+00:00,2026-05-15 19:05:00+00:00,0.7544831334652217,7422.35,7444.85,7421.1,0.05555555555555555,2026-05-15 19:05:04.007000+00:00,2026-05-15 19:08:50.605000+00:00,WIN,-0.014444444444444454
DJ30,bearish,2026-05-15 08:16:00+00:00,2026-05-15 08:18:00+00:00,0.7046631090709011,49956.44,49846.44,49735.689999999995,2.006818181818248,2026-05-15 08:18:04.406000+00:00,,INVALID_PRICE,0.0
DJ30,bearish,2026-05-15 13:31:00+00:00,2026-05-15 14:00:00+00:00,0.797457838203805,49871.14,49794.64,49670.89,2.6176470588235294,2026-05-15 14:00:04.305000+00:00,,INVALID_PRICE,0.0
DJ30,bearish,2026-05-15 13:32:00+00:00,2026-05-15 14:00:00+00:00,0.7954103563136455,49871.14,49794.64,49568.39,3.957516339869281,2026-05-15 14:00:04.305000+00:00,,INVALID_PRICE,0.0
DJ30,bearish,2026-05-15 18:17:00+00:00,2026-05-15 18:18:00+00:00,0.7056351218374591,49671.14,49693.44,49573.44,4.381165919281809,2026-05-15 18:18:04.039000+00:00,2026-05-15 18:22:40.239000+00:00,LOSS,-1.07
FRA40,bearish,2026-05-15 07:34:00+00:00,2026-05-15 08:00:00+00:00,0.7234682627503537,7999.06,8046.15,7983.65,0.32724569972395445,2026-05-15 08:00:04.138000+00:00,2026-05-15 11:34:40.823000+00:00,WIN,0.25724569972395445
USDCAD,bearish,2026-05-15 13:50:00+00:00,2026-05-15 13:51:00+00:00,0.7878328821027673,1.37497,1.37672,1.37503,0.03428571428568673,2026-05-15 13:51:04.263000+00:00,,INVALID_PRICE,0.0
USDCAD,bearish,2026-05-15 15:10:00+00:00,2026-05-15 15:11:00+00:00,0.7330117673281392,1.37535,1.37648,1.37498,0.32743362831861017,2026-05-15 15:11:05.600000+00:00,2026-05-15 16:04:43.065000+00:00,WIN,0.25743362831861016
USDCAD,bearish,2026-05-15 15:38:00+00:00,2026-05-15 15:39:00+00:00,0.78926324977506,1.37553,1.37635,1.374775,0.9207317073168289,2026-05-15 15:39:05.403000+00:00,2026-05-15 16:06:24.340000+00:00,WIN,0.8507317073168288
USDCAD,bullish,2026-05-15 17:27:00+00:00,2026-05-15 17:28:00+00:00,0.7570403243501145,1.37477,1.37311,1.3745,0.16265060240963453,2026-05-15 17:28:04.185000+00:00,,INVALID_PRICE,0.0
