instrument,direction,ob_ts,placed_ts,ml,entry,sl,tp,rr,fill_ts,exit_ts,outcome,pnl_r
GER40,bullish,2026-05-18 06:36:00+00:00,2026-05-18 06:40:00+00:00,0.920264728755165,23647.2,23619.2,23689.2,1.5,,,NO_FILL,0.0
GER40,bullish,2026-05-18 19:01:00+00:00,2026-05-18 19:05:00+00:00,0.8163306753571069,24175.7,24148.7,24229.7,2.0,,,NO_FILL,0.0
GER40,bullish,2026-05-18 08:20:00+00:00,2026-05-18 08:25:00+00:00,0.7129788259654757,23894.7,23868.7,23938.7,1.6923076923076923,,,INVALID_PRICE,0.0
GER40,bullish,2026-05-18 03:39:00+00:00,2026-05-18 04:00:00+00:00,0.7010086243163111,23697.75,23661.25,23770.75,2.0,,,NO_FILL,0.0
EURUSD,bullish,2026-05-18 01:31:00+00:00,2026-05-18 01:35:00+00:00,0.8486642721005635,1.16138,1.161,1.16195,1.5,,,NO_FILL,0.0
GBPUSD,bullish,2026-05-18 06:00:00+00:00,2026-05-18 06:05:00+00:00,0.7129334011110217,1.3324500000000001,1.33215,1.3332600000000001,2.699999999998224,,,INVALID_PRICE,0.0
GBPUSD,bullish,2026-05-18 01:25:00+00:00,2026-05-18 01:30:00+00:00,0.8028619501052395,1.3306499999999999,1.33023,1.33155,2.1428571428581247,,,NO_FILL,0.0
NAS100,bullish,2026-05-18 18:28:00+00:00,2026-05-18 18:30:00+00:00,0.7762914402548696,28792.8,28768.05,28842.3,2.0,,,NO_FILL,0.0
NAS100,bullish,2026-05-18 19:31:00+00:00,2026-05-18 19:35:00+00:00,0.7389767310144095,28890.55,28814.8,29042.05,2.0,,,NO_FILL,0.0
NAS100,bearish,2026-05-18 13:02:00+00:00,2026-05-18 13:05:00+00:00,0.7640122578433202,29307.55,29352.05,29238.4,1.553932584269614,,,NO_FILL,0.0
NAS100,bullish,2026-05-18 16:33:00+00:00,2026-05-18 16:35:00+00:00,0.7507300132403409,28858.05,28775.8,29022.55,2.0,,,NO_FILL,0.0
NAS100,bullish,2026-05-18 06:33:00+00:00,2026-05-18 06:35:00+00:00,0.783000255845723,28952.05,28924.55,29007.05,2.0,,,INVALID_PRICE,0.0
XAUUSD,bullish,2026-05-18 19:01:00+00:00,2026-05-18 19:05:00+00:00,0.7556728835419813,4543.49,4534.29,4557.289999999999,1.5,,,NO_FILL,0.0
XAUUSD,bearish,2026-05-18 14:01:00+00:00,2026-05-18 14:05:00+00:00,0.7191606336874116,4572.77,4584.2,4555.625000000002,1.5,,,NO_FILL,0.0
BTCUSD,bullish,2026-05-18 15:24:00+00:00,2026-05-18 15:25:00+00:00,0.852541635278871,76146.49,76056.51,76281.46000000002,1.5,,,NO_FILL,0.0
BTCUSD,bullish,2026-05-18 15:31:00+00:00,2026-05-18 15:35:00+00:00,0.8327658637205906,76130.29,76037.03,76270.18,1.5,,,NO_FILL,0.0
BTCUSD,bullish,2026-05-18 15:36:00+00:00,2026-05-18 15:40:00+00:00,0.7215441995199046,76306.87,76037.03,76711.62999999999,1.5,,,NO_FILL,0.0
GBPUSD,bearish,2026-05-18 16:17:00+00:00,2026-05-18 16:20:00+00:00,0.7216274761982641,1.3443399999999999,1.34494,1.3434399999999997,1.5,,,NO_FILL,0.0
AUDUSD,bearish,2026-05-18 14:01:00+00:00,2026-05-18 14:05:00+00:00,0.7408346863407471,0.71732,0.71777,0.7166449999999999,1.5,,,NO_FILL,0.0
SP500,bullish,2026-05-18 03:29:00+00:00,2026-05-18 03:30:00+00:00,0.7506896757483137,7371.45,7367.83,7377.77,1.7458563535913838,,,NO_FILL,0.0
SP500,bullish,2026-05-18 06:35:00+00:00,2026-05-18 06:40:00+00:00,0.8233270912496125,7369.32,7362.95,7378.875,1.5,2026-05-18 07:14:57.779000+00:00,2026-05-18 07:37:38.346000+00:00,LOSS,-1.07
SP500,bearish,2026-05-18 13:02:00+00:00,2026-05-18 13:05:00+00:00,0.730995973214798,7432.5,7439.5,7421.1,1.6285714285713766,,,NO_FILL,0.0
SP500,bullish,2026-05-18 19:01:00+00:00,2026-05-18 19:05:00+00:00,0.7094483315732112,7372.65,7360.65,7404.75,2.6750000000000305,,,NO_FILL,0.0
SP500,bullish,2026-05-18 19:00:00+00:00,2026-05-18 19:05:00+00:00,0.8061747795201532,7367.4,7360.65,7377.77,1.5362962962964148,,,NO_FILL,0.0
USDJPY,bullish,2026-05-18 23:45:00+00:00,2026-05-18 23:50:00+00:00,0.7101732904343726,158.828,158.815,158.86700000000002,3.0,,,NO_FILL,0.0
DJ30,bullish,2026-05-18 04:46:00+00:00,2026-05-18 04:50:00+00:00,0.7205127278598885,49156.45,49114.45,49219.45,1.5,,,NO_FILL,0.0
UK100,bullish,2026-05-18 03:41:00+00:00,2026-05-18 04:00:00+00:00,0.7085447377133901,10144.85,10134.85,10159.85,1.5,,,NO_FILL,0.0
FRA40,bullish,2026-05-18 06:40:00+00:00,2026-05-18 06:45:00+00:00,0.8247314794593227,7837.75,7830.25,7849.0,1.5,,,NO_FILL,0.0
USDCAD,bearish,2026-05-18 00:01:00+00:00,2026-05-18 00:05:00+00:00,0.711893845073291,1.37612,1.37637,1.3753699999999998,3.0,,,NO_FILL,0.0
USDCAD,bearish,2026-05-18 01:07:00+00:00,2026-05-18 01:10:00+00:00,0.7911549928044251,1.3759299999999999,1.37637,1.37503,2.045454545453307,,,NO_FILL,0.0
USDCAD,bearish,2026-05-18 01:06:00+00:00,2026-05-18 01:10:00+00:00,0.7203990702537926,1.3761,1.37632,1.3754400000000004,3.0,,,NO_FILL,0.0
USDCHF,bearish,2026-05-18 01:22:00+00:00,2026-05-18 01:25:00+00:00,0.8722348881952477,0.78749,0.78776,0.78701,1.7777777777779604,,,NO_FILL,0.0
USDCHF,bearish,2026-05-18 01:29:00+00:00,2026-05-18 01:30:00+00:00,0.8849961299682005,0.78739,0.78776,0.7868350000000001,1.5,,,NO_FILL,0.0
USDCHF,bullish,2026-05-18 22:05:00+00:00,2026-05-18 22:10:00+00:00,0.7122153208292885,0.78403,0.78374,0.78456,1.827586206896578,,,NO_FILL,0.0
