instrument,date,direction,outcome_limit,outcome_market,entry_ob,entry_mkt,sl,tp,rr
GER40,20260514,bullish,INVALID_PRICE,LOSS,24251.47,24173.9,24245.47,24263.47,2.0
GER40,20260514,bullish,NO_FILL,WIN,24214.77,24263.8,24176.37,24272.370000000003,1.5
GER40,20260514,bearish,NO_FILL,WIN,24448.0,24181.47,24467.0,24410.0,2.0
GER40,20260514,bearish,NO_FILL,WIN,24450.0,24198.47,24468.0,24414.0,2.0
GER40,20260514,bearish,NO_FILL,WIN,24447.0,24200.47,24468.0,24405.0,2.0
EURUSD,20260514,bearish,INVALID_PRICE,OPEN,1.17143,1.17155,1.17215,1.1698,2.263888888888748
EURUSD,20260514,bearish,INVALID_PRICE,LOSS,1.1703,1.17135,1.17053,1.1698,2.1739130434794363
EURUSD,20260514,bearish,INVALID_PRICE,LOSS,1.16942,1.17105,1.16966,1.16889,2.208333333332832
NAS100,20260514,bullish,NO_FILL,WIN,29396.9,29523.2,29375.9,29438.9,2.0
GBPUSD,20260514,bearish,INVALID_PRICE,LOSS,1.35268,1.35282,1.35324,1.3518399999999997,1.5
NAS100,20260514,bearish,NO_FILL,WIN,29672.65,29461.15,29701.15,29615.65,2.0
NAS100,20260514,bearish,NO_FILL,WIN,29669.9,29475.15,29709.15,29591.4,2.0
NAS100,20260514,bearish,NO_FILL,WIN,29665.65,29502.4,29681.65,29633.65,2.0
XAUUSD,20260514,bearish,INVALID_PRICE,LOSS,4668.94,4697.53,4671.92,4660.48,2.8389261744962058
XAUUSD,20260514,bearish,NO_FILL,WIN,4704.59,4694.55,4718.79,4683.290000000001,1.5
XAUUSD,20260514,bearish,NO_FILL,WIN,4703.0,4685.84,4718.79,4679.3150000000005,1.5
XAUUSD,20260514,bearish,INVALID_PRICE,LOSS,4684.48,4699.56,4689.44,4677.039999999999,1.5
XAUUSD,20260514,bearish,INVALID_PRICE,LOSS,4688.37,4689.15,4692.46,4678.96,2.300733496332401
XAUUSD,20260514,bearish,INVALID_PRICE,LOSS,4687.56,4696.94,4692.43,4678.96,1.7659137577003197
XAUUSD,20260514,bearish,LOSS,LOSS,4701.11,4697.66,4704.82,4694.3,1.8355795148246423
XAUUSD,20260514,bearish,INVALID_PRICE,LOSS,4690.64,4705.52,4697.09,4680.965,1.5
BTCUSD,20260514,bullish,LOSS,LOSS,79812.42,79847.58,79551.26,80204.16,1.5
BTCUSD,20260514,bullish,INVALID_PRICE,LOSS,79864.93,79847.58,79551.26,80335.435,1.5
BTCUSD,20260514,bullish,INVALID_PRICE,LOSS,81056.27,79608.51,80806.16,81431.435,1.5
BTCUSD,20260514,bullish,NO_FILL,WIN,79097.12,79324.11,78913.64,79459.87,1.977054719860519
BTCUSD,20260514,bullish,NO_FILL,WIN,79201.19,79324.11,78913.64,79632.51500000001,1.5
BTCUSD,20260514,bullish,INVALID_PRICE,LOSS,79854.93,79757.08,79772.77,79989.56,1.6386319376828478
AUDUSD,20260514,bearish,NO_FILL,WIN,0.72598,0.72541,0.72627,0.7251099999999999,3.0
GBPUSD,20260514,bearish,INVALID_PRICE,LOSS,1.3507,1.3515,1.351,1.35023,1.5666666666667406
GBPUSD,20260514,bearish,INVALID_PRICE,LOSS,1.3476,1.35155,1.34799,1.347015,1.5
AUDUSD,20260514,bearish,NO_FILL,WIN,0.72598,0.72492,0.72643,0.72506,2.044444444443989
AUDUSD,20260514,bearish,NO_FILL,WIN,0.72541,0.72458,0.72596,0.7245849999999999,1.5
GBPUSD,20260514,bearish,INVALID_PRICE,LOSS,1.35112,1.35223,1.35182,1.3500699999999997,1.5
SP500,20260514,bullish,WIN,WIN,7462.48,7465.84,7459.97,7467.95,2.179282868526598
SP500,20260514,bullish,INVALID_PRICE,LOSS,7465.73,7462.81,7460.72,7473.244999999999,1.5
SP500,20260514,bullish,NO_FILL,WIN,7459.73,7462.56,7456.47,7467.95,2.5214723926386498
SP500,20260514,bullish,INVALID_PRICE,LOSS,7484.35,7472.08,7477.35,7494.85,1.5
USDJPY,20260514,bullish,INVALID_PRICE,LOSS,158.2,157.983,158.17,158.29,3.0
DJ30,20260514,bullish,INVALID_PRICE,LOSS,49854.39,49746.56,49828.99,49892.490000000005,1.5
FRA40,20260514,bullish,NO_FILL,WIN,8036.71,8060.7,8032.21,8050.21,3.0
DJ30,20260514,bearish,NO_FILL,WIN,50201.46,49985.39,50239.46,50087.46,3.0
USDCAD,20260514,bullish,LOSS,LOSS,1.37077,1.37094,1.37063,1.37119,3.0
USDCAD,20260514,bullish,LOSS,OPEN,1.3705,1.37066,1.37016,1.37122,2.1176470588236445
GER40,20260515,bullish,NO_FILL,WIN,23866.7,24038.3,23843.7,23912.7,2.0
GER40,20260515,bearish,WIN,WIN,24169.2,24143.17,24206.2,24113.7,1.5
GER40,20260515,bearish,LOSS,WIN,24176.2,24125.67,24203.2,24130.85,1.6796296296297104
EURUSD,20260515,bearish,INVALID_PRICE,WIN,1.16304,1.16318,1.16358,1.16203,1.87037037037034
EURUSD,20260515,bullish,LOSS,WIN,1.16223,1.1632,1.16206,1.16259,2.117647058822992
NAS100,20260515,bearish,NO_FILL,WIN,29366.51,29139.61,29423.81,29251.909999999996,2.0
NAS100,20260515,bearish,LOSS,WIN,29645.71,29600.65,29652.36,29632.41,2.0
NAS100,20260515,bearish,LOSS,WIN,29638.21,29614.65,29655.36,29603.91,2.0
XAUUSD,20260515,bearish,WIN,WIN,4554.38,4547.28,4560.16,4545.710000000001,1.5
BTCUSD,20260515,bearish,WIN,WIN,81450.08,81340.51,81607.93,81177.24,1.7284764016472067
GBPUSD,20260515,bearish,LOSS,LOSS,1.33542,1.33475,1.33626,1.3341600000000002,1.5
BTCUSD,20260515,bullish,NO_FILL,WIN,78886.92,80709.02,78639.77,79257.64499999999,1.5
AUDUSD,20260515,bullish,NO_FILL,WIN,0.71451,0.71671,0.71435,0.71478,1.687500000000607
SP500,20260515,bearish,LOSS,WIN,7511.2,7505.4,7512.2,7508.2,3.0
SP500,20260515,bearish,LOSS,LOSS,7509.7,7507.65,7512.45,7501.45,3.0
SP500,20260515,bearish,LOSS,WIN,7436.85,7422.1,7444.85,7421.1,1.96875
USDJPY,20260515,bearish,NO_FILL,WIN,158.767,158.672,158.845,158.64999999999998,1.5
DJ30,20260515,bearish,INVALID_PRICE,LOSS,49745.14,49913.44,49794.64,49670.89,1.5
DJ30,20260515,bearish,INVALID_PRICE,LOSS,49704.14,49913.44,49794.64,49568.39,1.5
DJ30,20260515,bearish,INVALID_PRICE,LOSS,49802.14,49960.44,49846.44,49735.69,1.5
FRA40,20260515,bearish,NO_FILL,WIN,8021.15,8008.8,8046.15,7983.65,1.5
DJ30,20260515,bearish,INVALID_PRICE,LOSS,49645.44,49667.14,49693.44,49573.44,1.5
USDCAD,20260515,bearish,NO_FILL,WIN,1.37611,1.37494,1.37672,1.37503,1.7704918032786408
USDCAD,20260515,bearish,NO_FILL,WIN,1.37572,1.37538,1.37635,1.374775,1.5
USDCAD,20260515,bullish,NO_FILL,WIN,1.37366,1.37479,1.37311,1.3745,1.5272727272724995
USDCAD,20260515,bearish,NO_FILL,WIN,1.37588,1.37543,1.37648,1.37498,1.5
GER40,20260518,bullish,NO_FILL,WIN,23647.2,23769.2,23619.2,23689.2,1.5
GER40,20260518,bullish,NO_FILL,WIN,24175.7,24332.3,24148.7,24229.7,2.0
GER40,20260518,bullish,INVALID_PRICE,LOSS,23894.7,23758.75,23868.7,23938.7,1.6923076923076923
GER40,20260518,bullish,NO_FILL,WIN,23697.75,23729.45,23661.25,23770.75,2.0
EURUSD,20260518,bullish,NO_FILL,WIN,1.16138,1.16295,1.161,1.16195,1.5
GBPUSD,20260518,bullish,INVALID_PRICE,LOSS,1.33245,1.33176,1.33215,1.33326,2.699999999998224
GBPUSD,20260518,bullish,NO_FILL,WIN,1.33065,1.33301,1.33023,1.33155,2.1428571428581247
NAS100,20260518,bullish,NO_FILL,WIN,28792.8,29135.6,28768.05,28842.3,2.0
NAS100,20260518,bullish,NO_FILL,WIN,28890.55,29222.1,28814.8,29042.05,2.0
NAS100,20260518,bearish,NO_FILL,WIN,29307.55,29051.8,29352.05,29238.4,1.553932584269614
NAS100,20260518,bullish,NO_FILL,WIN,28858.05,29023.6,28775.8,29022.55,2.0
NAS100,20260518,bullish,INVALID_PRICE,LOSS,28952.05,28927.0,28924.55,29007.05,2.0
XAUUSD,20260518,bullish,NO_FILL,WIN,4543.49,4565.4,4534.29,4557.289999999999,1.5
XAUUSD,20260518,bearish,NO_FILL,WIN,4572.77,4546.53,4584.2,4555.625000000002,1.5
BTCUSD,20260518,bullish,NO_FILL,WIN,76146.49,76985.47,76056.51,76281.46000000002,1.5
BTCUSD,20260518,bullish,NO_FILL,WIN,76130.29,76978.18,76037.03,76270.18,1.5
BTCUSD,20260518,bullish,NO_FILL,WIN,76306.87,77007.49,76037.03,76711.62999999999,1.5
GBPUSD,20260518,bearish,NO_FILL,WIN,1.34434,1.33603,1.34494,1.3434399999999995,1.5
AUDUSD,20260518,bearish,NO_FILL,WIN,0.71732,0.71523,0.71777,0.7166449999999999,1.5
SP500,20260518,bullish,NO_FILL,WIN,7371.45,7400.8,7367.83,7377.77,1.7458563535913838
SP500,20260518,bullish,LOSS,WIN,7369.32,7377.31,7362.95,7378.875,1.5
SP500,20260518,bearish,NO_FILL,WIN,7432.5,7384.45,7439.5,7421.1,1.6285714285713766
SP500,20260518,bullish,NO_FILL,WIN,7372.65,7431.81,7360.65,7404.75,2.6750000000000305
SP500,20260518,bullish,NO_FILL,WIN,7367.4,7431.81,7360.65,7377.77,1.5362962962964148
USDJPY,20260518,bullish,NO_FILL,WIN,158.828,158.92,158.815,158.86700000000002,3.0
DJ30,20260518,bullish,NO_FILL,WIN,49156.45,49477.85,49114.45,49219.45,1.5
UK100,20260518,bullish,NO_FILL,WIN,10144.85,10205.81,10134.85,10159.85,1.5
FRA40,20260518,bullish,NO_FILL,WIN,7837.75,7875.93,7830.25,7849.0,1.5
USDCAD,20260518,bearish,NO_FILL,WIN,1.37612,1.37427,1.37637,1.3753699999999998,3.0
USDCAD,20260518,bearish,NO_FILL,WIN,1.37593,1.37427,1.37637,1.37503,2.045454545453307
USDCAD,20260518,bearish,NO_FILL,WIN,1.3761,1.37427,1.37632,1.3754400000000004,3.0
USDCHF,20260518,bearish,NO_FILL,LOSS,0.78749,0.78611,0.78776,0.78701,1.7777777777779604
USDCHF,20260518,bearish,NO_FILL,LOSS,0.78739,0.78611,0.78776,0.7868350000000001,1.5
USDCHF,20260518,bullish,NO_FILL,WIN,0.78403,0.78548,0.78374,0.78456,1.827586206896578
GER40,20260519,bearish,INVALID_PRICE,WIN,24279.07,24241.07,24685.6,24541.85,0.6463975598356815
GER40,20260519,bearish,INVALID_PRICE,WIN,24279.07,24241.07,24685.6,24529.35,0.6156495215605233
GER40,20260519,bullish,INVALID_PRICE,WIN,24390.03,24390.03,24186.07,24250.4,0.6845950186310942
EURUSD,20260519,bullish,INVALID_PRICE,WIN,1.16217,1.16196,1.15922,1.16057,0.5423728813559462
EURUSD,20260519,bearish,WIN,LOSS,1.16134,1.1622,1.16148,1.16084,3.5714285714274387
EURUSD,20260519,bearish,WIN,LOSS,1.16057,1.16219,1.16129,1.16029,0.3888888888886319
NAS100,20260519,bearish,INVALID_PRICE,WIN,28960.05,28792.05,29108.15,29074.4,0.7721134368669851
XAUUSD,20260519,bearish,LOSS,LOSS,4502.32,4543.87,4503.82,4487.06,10.173333333332872
XAUUSD,20260519,bearish,WIN,LOSS,4490.78,4517.18,4497.73,4487.06,0.5352517985610709
XAUUSD,20260519,bearish,INVALID_PRICE,WIN,4553.32,4545.27,4589.23,4560.22,0.1921470342523134
XAUUSD,20260519,bearish,INVALID_PRICE,WIN,4547.63,4541.17,4585.92,4560.22,0.3288064768869198
BTCUSD,20260519,bullish,INVALID_PRICE,LOSS,76554.57,77008.03,76765.1,77143.06999999998,2.795326081793446
GBPUSD,20260519,bullish,INVALID_PRICE,WIN,1.34053,1.3393,1.33807,1.3403,0.0934959349593338
USDJPY,20260519,bullish,INVALID_PRICE,WIN,159.08,158.919,158.815,158.86700000000002,0.8037735849055924
AUDUSD,20260519,bullish,INVALID_PRICE,WIN,0.71154,0.71177,0.70798,0.70933,0.6207865168539322
SP500,20260519,bearish,INVALID_PRICE,WIN,7376.0,7381.37,7400.0,7385.0,0.375
USDJPY,20260519,bearish,WIN,WIN,159.155,159.044,159.192,159.082,1.9729729729728485
DJ30,20260519,bearish,INVALID_PRICE,WIN,49672.31,49688.31,49794.91,49714.91,0.3474714518760505
DJ30,20260519,bearish,WIN,WIN,49688.31,49649.31,49794.91,49658.40999999999,0.2804878048781153
DJ30,20260519,bearish,INVALID_PRICE,LOSS,49637.31,49671.31,49727.31,49651.39,0.1564444444444638
DJ30,20260519,bearish,INVALID_PRICE,LOSS,49591.38,49650.91,49571.38,49511.38,4.0
